kategori,nama_wisata,latitude,longitude,alamat,provinsi,kota_kabupaten,nama_lengkap,deskripsi,path,path_gambar
air terjun,Air Terjun Kanto Lampo,-8.5323414,115.3329825,"Kanto Lampo, Beng, Gianyar, Bali, Nusa Tenggara, 80512, Indonesia",Bali,Gianyar,"Air Terjun Kanto Lampo, Gianyar, Bali",Deskripsi tidak ditemukan,gambar_wisata/Air_Terjun_Kanto_Lampo,gambar_wisata/Air_Terjun_Kanto_Lampo
air terjun,Air Terjun Kedung Kayang,-7.5003922,110.3933888,"Air terjun kedung kayang, Jalan Raya Boyolali-Magelang, Wonodadi, Wonolelo, Sawangan, Magelang, Jawa Tengah, Jawa, 56481, Indonesia",Jawa Tengah,Magelang,"Air Terjun Kedung Kayang, Magelang, Jawa Tengah","Kabupaten Magelang (bahasa Jawa:  Hanacaraka: ꦩꦒꦼꦭꦁ, Pegon: ماڬلاڠ, translit. Magêlang) adalah sebuah wilayah Kabupaten yang terletak di Provinsi Jawa Tengah, Indonesia.",gambar_wisata/Air_Terjun_Kedung_Kayang,gambar_wisata/Air_Terjun_Kedung_Kayang
air terjun,Air Terjun Mangku Sakti,-8.3180093,116.4686796,"Air Terjun Mangku Sakti, Sambik Eelen - Batu Santek, Sambikelen, Lombok Utara, Nusa Tenggara Barat, Nusa Tenggara, Indonesia",Nusa Tenggara Barat,Lombok Utara,"Air Terjun Mangku Sakti, Lombok Utara, Nusa Tenggara Barat",Deskripsi tidak ditemukan,gambar_wisata/Air_Terjun_Mangku_Sakti,gambar_wisata/Air_Terjun_Mangku_Sakti
air terjun,Air Terjun Matayangu,-9.6732857,119.5046953,"Air Terjun Matayangu, Sumba Tengah, Nusa Tenggara Timur, Nusa Tenggara, Indonesia",Nusa Tenggara Timur,Sumba Tengah,"Air Terjun Matayangu, Sumba Tengah, Nusa Tenggara Timur",Berikut ini adalah daftar air terjun di Indonesia. Daftar ini tidak lengkap dan hanya dapat dijadikan acuan sementara.,gambar_wisata/Air_Terjun_Matayangu,gambar_wisata/Air_Terjun_Matayangu
air terjun,Air Terjun Moramo,-4.221149,122.7452422,"Moramo - air terjun, Konawe Selatan, Sulawesi Tenggara, Sulawesi, Indonesia",Sulawesi Tenggara,Konawe Selatan,"Air Terjun Moramo, Konawe Selatan, Sulawesi Tenggara","Air Terjun Moramo terletak di kawasan Hutan Suaka Alam Tanjung Peropa, Sulawesi Tenggara dan merupakan air terjun bertingkat (cascade) yang indah dengan ketinggian sekitar 100 meter. Dari ketinggian tersebut, air mengalir melewati tujuh tingkatan utama.",gambar_wisata/Air_Terjun_Moramo,gambar_wisata/Air_Terjun_Moramo
air terjun,Air Terjun Sambangan,-8.1443829,115.100412,"Air Terjun Tembok Barak, Sambangan, Buleleng, Bali, Nusa Tenggara, 81118, Indonesia",Bali,Buleleng,"Air Terjun Sambangan, Buleleng, Bali","Kabupaten Buleleng (bahasa Bali: ᬓᬩᬸᬧᬢᬾᬦ᭄ᬩᬸᬮᭂᬮᭂᬂ Kabupatén Buléléng) adalah salah satu kabupaten di provinsi Bali yang terletak di bagian utara, barat dan timur Pulau Bali. Ibu kotanya adalah kota Singaraja.",gambar_wisata/Air_Terjun_Sambangan,gambar_wisata/Air_Terjun_Sambangan
air terjun,Air Terjun Sendang Gile,-8.3055561,116.4082776,"Air terjun Sendang Gile, Dusun Pawang Karya, Senaru, Lombok Utara, Nusa Tenggara Barat, Nusa Tenggara, Indonesia",Nusa Tenggara Barat,Lombok Utara,"Air Terjun Sendang Gile, Lombok Utara, Nusa Tenggara Barat","Air terjun Sendang Gile adalah air terjun yang terletak di desa Senaru, kecamatan Bayan, kabupaten Lombok Utara, propinsi Nusa Tenggara Barat. Lebih tepatnya berada di kawasan desa Senaru, 2 kilometer dari desa Bayan.",gambar_wisata/Air_Terjun_Sendang_Gile,gambar_wisata/Air_Terjun_Sendang_Gile
air terjun,Air Terjun Sri Gethuk,-7.9432134,110.4895782,"Air Terjun Sri Gethuk, 052, Jatimulyo, Dlingo, Bantul, Daerah Istimewa Yogyakarta, Jawa, 55783, Indonesia",Daerah Istimewa Yogyakarta,Bantul,"Air Terjun Sri Gethuk, Bantul, Daerah Istimewa Yogyakarta","Daerah Istimewa Yogyakarta, disingkat DI Yogyakarta atau DIY adalah daerah Istimewa setingkat provinsi di Indonesia yang merupakan peleburan dari Negara Kesultanan Yogyakarta dan Negara Kadipaten Paku Alaman dengan ibu kota di Kota Yogyakarta. Daerah Istimewa Yogyakarta terletak di bagian selatan Pulau Jawa, dan berbatasan dengan Provinsi Jawa Tengah dan Samudra Hindia.",gambar_wisata/Air_Terjun_Sri_Gethuk,gambar_wisata/Air_Terjun_Sri_Gethuk
air terjun,Air Terjun Tegenungan,-8.5752294,115.2907014,"Tegenungan Blangsinga, Sukawati, Gianyar, Bali, Nusa Tenggara, 80582, Indonesia",Bali,Gianyar,"Air Terjun Tegenungan, Gianyar, Bali","Air terjun Tegenungan adalah air terjun yang terletak di Desa Kemenuh, Kecamatan Sukawati, Kabupaten Gianyar, berjarak 30 km dari Kota Denpasar. Air terjun ini memiliki ketinggian 15 meter.",gambar_wisata/Air_Terjun_Tegenungan,gambar_wisata/Air_Terjun_Tegenungan
air terjun,Air Terjun Tukad Cepung,-8.4423213,115.3879035,"Air Terjun Tukad Cepung, Undisan, Bangli, Bali, Nusa Tenggara, 80613, Indonesia",Bali,Bangli,"Air Terjun Tukad Cepung, Bangli, Bali",Kabupaten Bangli (aksara Bali: ᬓᬩᬸᬧᬢᬾᬦ᭄ᬩᬂᬮᬶ Kabupatén Baṅli) adalah kabupaten yang terletak di bagian timur dan utara pulau Bali. Ibukotanya berada di Kecamatan Bangli.,gambar_wisata/Air_Terjun_Tukad_Cepung,gambar_wisata/Air_Terjun_Tukad_Cepung
air terjun,Air Terjun Tumpak Sewu,-8.2389311,112.9214262,"Kawasan Air Terjun Tumpak Sewu, Jagalan, Sidorenggo, Kabupaten Malang, Jawa Timur, Jawa, 67374, Indonesia",Jawa Timur,Kabupaten Malang,"Air Terjun Tumpak Sewu, Kabupaten Malang, Jawa Timur","Air Terjun Tumpak Sewu atau disebut juga Coban Sewu adalah sebuah air terjun berketinggian sekitar 120 meter. Air terjun ini  berbatasan dengan  Kabupaten Lumajang dan Kabupaten Malang, Provinsi Jawa Timur.",gambar_wisata/Air_Terjun_Tumpak_Sewu,gambar_wisata/Air_Terjun_Tumpak_Sewu
air terjun,Air Terjun Waimarang,-9.9687141,120.6028048,"Air Terjun Waimarang, Desa Tamburi, Kecamatan Rindi, Sumba Timur, Nusa Tenggara Timur, Nusa Tenggara, Indonesia",Nusa Tenggara Timur,Sumba Timur,"Air Terjun Waimarang, Sumba Timur, Nusa Tenggara Timur",Nusa Tenggara Timur (disingkat NTT) adalah sebuah provinsi di Indonesia yang meliputi bagian timur Kepulauan Nusa Tenggara. Ibu kota Nusa Tenggara Timur berada di Kota Kupang.,gambar_wisata/Air_Terjun_Waimarang,gambar_wisata/Air_Terjun_Waimarang
alun-alun,Alun-Alun Bandung,-6.9216776,107.607151,"Alun-Alun Bandung, Balonggede, Regol, Kota Bandung, Jawa Barat, Jawa, Indonesia",Jawa Barat,Kota Bandung,"Alun-Alun Bandung, Kota Bandung, Jawa Barat","Kota Bandung (bahasa Sunda: ᮊᮧᮒ ᮘᮔ᮪ᮓᮥᮀ, Pegon: باندوڠ, Hanzi: 万隆, translit. Bandung; pelafalan dalam bahasa Indonesia: [ban.duŋ] ) adalah sebuah kota sekaligus menjadi ibu kota provinsi di Provinsi Jawa Barat, Indonesia.",gambar_wisata/Alun-Alun_Bandung,gambar_wisata/Alun-Alun_Bandung
alun-alun,Alun-Alun Banyuwangi,-8.2073769,114.3759291,"Jalan Tawang Alun, Biskalan, Patemon Wetan, Banyuwangi, Temenggungan, Banyuwangi, Jawa Timur, Jawa, 68419, Indonesia",Jawa Timur,Banyuwangi,"Alun-Alun Banyuwangi, Banyuwangi, Jawa Timur","Banyuwangi (atau juga dikenal: Banyuwangi Kota) adalah sebuah kecamatan sekaligus menjadi ibu kota kabupaten di Kabupaten Banyuwangi, Provinsi Jawa Timur, Indonesia. Posisinya sebagai ibu kota kabupaten telah menjadikan banyaknya gedung-gedung pemerintahan kabupaten, cabang-cabang perusahaan, dan pusat keramaian yang berdiri di wilayah kecamatan ini.",gambar_wisata/Alun-Alun_Banyuwangi,gambar_wisata/Alun-Alun_Banyuwangi
alun-alun,Alun-Alun Blitar,-8.0981708,112.1651758,"Alun-Alun Blitar, Kepanjenkidul, Blitar, Jawa Timur, Jawa, Indonesia",Jawa Timur,Blitar,"Alun-Alun Blitar, Blitar, Jawa Timur","Kota Blitar (bahasa Jawa: Hanacaraka: ꦧ꧀ꦭꦶꦠꦂ, Pegon: بليتار; pengucapan bahasa Jawa: [ˈblɪt̪ar]) merupakan sebuah kota yang terletak di bagian Selatan provinsi Jawa Timur, Indonesia. Kota ini terletak sekitar 167 km sebelah barat daya Surabaya dan 80 km sebelah barat Malang.",gambar_wisata/Alun-Alun_Blitar,gambar_wisata/Alun-Alun_Blitar
alun-alun,Alun-Alun Bojonegoro,-7.1490935,111.8802509,"Alun-Alun Bojonegoro, Pakuwon, Bojonegoro, Jawa Timur, Jawa, Indonesia",Jawa Timur,Bojonegoro,"Alun-Alun Bojonegoro, Bojonegoro, Jawa Timur","Kabupaten Bojonegoro (bahasa Jawa: Hanacaraka: ꦧꦺꦴꦗꦤꦒꦫ, Pegon: بَوجاناڮارا, translit. Bojånagårå; pengucapan bahasa Jawa: [bod͡ʒɔˈnaɡɔrɔ]) adalah sebuah wilayah kabupaten yang berada di Provinsi Jawa Timur, Indonesia.",gambar_wisata/Alun-Alun_Bojonegoro,gambar_wisata/Alun-Alun_Bojonegoro
alun-alun,Alun-Alun Bondowoso,-7.9131978,113.8224604,"Alun-alun Bondowoso, Pegadaian, Bondowoso, Jawa Timur, Jawa, Indonesia",Jawa Timur,Bondowoso,"Alun-Alun Bondowoso, Bondowoso, Jawa Timur","Kabupaten Bondowoso (Hanacaraka: ꦧꦤ꧀ꦢꦮꦱ, Pegon: بانداواسا; pelafalan dalam bahasa Indonesia: [bɔndɔˈwɔsɔ]) adalah sebuah wilayah kabupaten di Provinsi Jawa Timur, Indonesia. Ibu kotanya adalah Kecamatan Bondowoso.",gambar_wisata/Alun-Alun_Bondowoso,gambar_wisata/Alun-Alun_Bondowoso
alun-alun,Alun-Alun Brebes,-6.8706354,109.0368815,"Alun-Alun Brebes, Pesanggrahan, Brebes, Jawa Tengah, Jawa, Indonesia",Jawa Tengah,Brebes,"Alun-Alun Brebes, Brebes, Jawa Tengah","Kabupaten Brebes (bahasa Jawa:  Hanacaraka: ꦧꦽꦧꦼꦱ꧀, bahasa Sunda: ᮘᮢᮨᮘᮨᮞ᮪, Pegon: بربس) adalah sebuah wilayah kabupaten yang berada di Provinsi Jawa Tengah, Indonesia. Ibu kotanya adalah Kecamatan Brebes.",gambar_wisata/Alun-Alun_Brebes,gambar_wisata/Alun-Alun_Brebes
alun-alun,Alun-Alun Cilacap,-7.7273698,109.0095032,"Alun-Alun Cilacap, RW 01 Kelurahan Sidanegara, Cilacap, Kelurahan Sidanegara Kecamatan Cilacap, Cilacap, Jawa Tengah, Jawa, Indonesia",Jawa Tengah,Cilacap,"Alun-Alun Cilacap, Cilacap, Jawa Tengah","Kota Cilacap adalah ibu kota Kabupaten Cilacap yang sekaligus menjadi pusat pemerintahan dan perekonomian dari Kabupaten Cilacap, Provinsi Jawa Tengah, Indonesia. Jumlah penduduknya 2.007.829 jiwa pada tahun 2024 dengan luas 88,76 km² yang terdiri atas 3 kecamatan.",gambar_wisata/Alun-Alun_Cilacap,gambar_wisata/Alun-Alun_Cilacap
alun-alun,Alun-Alun Cirebon,-6.7219026,108.567909,"Alun Alun Keraton Kanoman, Lemahwungkuk, Kota Cirebon, Jawa Barat, Jawa, Indonesia",Jawa Barat,Kota Cirebon,"Alun-Alun Cirebon, Kota Cirebon, Jawa Barat","Kota Cirebon adalah salah satu kota yang berada di provinsi Jawa Barat, Indonesia. Kota ini berada di pesisir utara Pulau Jawa yang menghubungkan Jakarta dengan Surabaya antara lintas tengah dan utara Jawa.",gambar_wisata/Alun-Alun_Cirebon,gambar_wisata/Alun-Alun_Cirebon
alun-alun,Alun-Alun Demak,-6.894814,110.638526,"Alun - Alun Demak, Kauman, Demak, Jawa Tengah, Jawa, Indonesia",Jawa Tengah,Demak,"Alun-Alun Demak, Demak, Jawa Tengah",Keraton Ngayogyakarta Hadiningrat atau Keraton Yogyakarta merupakan istana resmi Kesultanan Ngayogyakarta Hadiningrat yang kini berlokasi di Kota Yogyakarta. Keraton ini didirikan oleh Sri Sultan Hamengkubuwana I pada tahun 1755 sebagai Istana/Keraton Yogyakarta yang baru berdiri akibat perpecahan Mataram Islam dengan adanya Perjanjian Giyanti.,gambar_wisata/Alun-Alun_Demak,gambar_wisata/Alun-Alun_Demak
alun-alun,Alun-Alun Gresik,-7.1571326,112.6560463,"alun-alun Gresik, Gresik, Jawa Timur, Jawa, Indonesia",Jawa Timur,Gresik,"Alun-Alun Gresik, Gresik, Jawa Timur","Sidayu adalah sebuah Kecamatan di Kabupaten Gresik, Provinsi Jawa Timur, Indonesia. Pada era Majapahit daerah ini disebut dengan Ujung Galuh.",gambar_wisata/Alun-Alun_Gresik,gambar_wisata/Alun-Alun_Gresik
alun-alun,Alun-Alun Jember,-8.1689005,113.7021649,"Alun alun Jember, Sumber Lor, Jember, Jawa Timur, Jawa, Indonesia",Jawa Timur,Jember,"Alun-Alun Jember, Jember, Jawa Timur","Kabupaten Jember (bahasa Jawa:  Hanacaraka: ꦗꦼꦩ꧀ꦨꦼꦂ, Pegon: جۤمبۤر, translit. Jêmbêr; pengucapan bahasa Jawa: [ˈd͡ʒǝmbǝr]) adalah sebuah kabupaten di provinsi Jawa Timur, Indonesia.",gambar_wisata/Alun-Alun_Jember,gambar_wisata/Alun-Alun_Jember
alun-alun,Alun-Alun Jepara,-6.5897781,110.6673616,"Alun-alun Jepara, Jalan Diponegoro, Kauman, Jepara, Jawa Tengah, Jawa, 59417, Indonesia",Jawa Tengah,Jepara,"Alun-Alun Jepara, Jepara, Jawa Tengah","Jepara (bahasa Jawa: ꦗꦼꦥꦫ, Pegon: جيبارا, Hanzi: 杰帕拉) (atau disebut juga Jepara Kota) adalah ibu kota Kabupaten Jepara yang sekaligus menjadi pusat pemerintahan dan perekonomian dari Kabupaten Jepara. Jepara juga merupakan sebuah wilayah kecamatan yang terletak di Kabupaten Jepara, Provinsi Jawa Tengah, Indonesia.",gambar_wisata/Alun-Alun_Jepara,gambar_wisata/Alun-Alun_Jepara
alun-alun,Alun-Alun Karanganyar,-7.6306506,109.5736782,"Alun-alun Karanganyar, Karanganyar, Kebumen, Jawa Tengah, Jawa, Indonesia",Jawa Tengah,Kebumen,"Alun-Alun Karanganyar, Kebumen, Jawa Tengah","Kabupaten Kebumen (bahasa Jawa:  Hanacaraka: ꦏꦼꦧꦸꦩꦺꦤ꧀, Pegon: كبومن, translit. Kebumen) adalah sebuah wilayah kabupaten yang terletak di Provinsi Jawa Tengah, Indonesia.",gambar_wisata/Alun-Alun_Karanganyar,gambar_wisata/Alun-Alun_Karanganyar
alun-alun,Alun-Alun Kediri,-7.8265629,112.0110595,"Alun-Alun Kediri, Kampung Dalem, Kota, Kota Kediri, Jawa Timur, Jawa, Indonesia",Jawa Timur,Kota Kediri,"Alun-Alun Kediri, Kota Kediri, Jawa Timur","Kota Kediri (bahasa Jawa: Hanacaraka: ꦏꦝꦶꦫꦶ, Pegon: كاڎيري, translit. Kadhiri; pengucapan bahasa Jawa: [kaˈɖiri]) adalah sebuah kota yang berada di Provinsi Jawa Timur, Indonesia.",gambar_wisata/Alun-Alun_Kediri,gambar_wisata/Alun-Alun_Kediri
alun-alun,Alun-Alun Kendal,-6.9213273,110.2040396,"Alun-Alun Kendal, Kendal, Jawa Tengah, Jawa, Indonesia",Jawa Tengah,Kendal,"Alun-Alun Kendal, Kendal, Jawa Tengah","Kabupaten Kendal (bahasa Jawa: Hanacaraka: ꦏꦼꦟ꧀ꦝꦭ꧀, Pegon: كنڎال, translit. Kendhal) adalah sebuah wilayah kabupaten yang terletak di Provinsi Jawa Tengah, Indonesia.",gambar_wisata/Alun-Alun_Kendal,gambar_wisata/Alun-Alun_Kendal
alun-alun,Alun-Alun Kendari,-4.0286681,122.5205774,"Tawang Alun Futsal Arena, Jalan Terong, Bonggoeya, Kendari, Sulawesi Tenggara, Sulawesi, 93112, Indonesia",Sulawesi Tenggara,Kendari,"Alun-Alun Kendari, Kendari, Sulawesi Tenggara","Mall Olympic Garden, atau disingkat menjadi MOG, adalah salah satu mal besar yang ada di Kota Malangyang dibuka pada tahun 2008. Mal ini terletak di belakang Stadion Gajayana dan hanya berjarak 2,5 kilometer dari Alun-Alun Tugu.",gambar_wisata/Alun-Alun_Kendari,gambar_wisata/Alun-Alun_Kendari
alun-alun,Alun-Alun Kidul Yogyakarta,-7.811844,110.3632217,"Alun Alun Kidul, Patehan, Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta, Jawa, 55133, Indonesia",Daerah Istimewa Yogyakarta,Kota Yogyakarta,"Alun-Alun Kidul Yogyakarta, Kota Yogyakarta, Daerah Istimewa Yogyakarta",Keraton Ngayogyakarta Hadiningrat atau Keraton Yogyakarta merupakan istana resmi Kesultanan Ngayogyakarta Hadiningrat yang kini berlokasi di Kota Yogyakarta. Keraton ini didirikan oleh Sri Sultan Hamengkubuwana I pada tahun 1755 sebagai Istana/Keraton Yogyakarta yang baru berdiri akibat perpecahan Mataram Islam dengan adanya Perjanjian Giyanti.,gambar_wisata/Alun-Alun_Kidul_Yogyakarta,gambar_wisata/Alun-Alun_Kidul_Yogyakarta
alun-alun,Alun-Alun Klaten,-7.704963,110.6018083,"Alun-alun Klaten, Klaten, Klaten City, Klaten, Jawa Tengah, Jawa, Indonesia",Jawa Tengah,Klaten City,"Alun-Alun Klaten, Klaten City, Jawa Tengah","Kota Surakarta (bahasa Jawa: Hanacaraka: ꦯꦹꦫꦏꦂꦡ, Pegon: سوراكارتا, Hanzi: 梭罗市, pengucapan bahasa Jawa: [surɔˈkartɔ]) atau Solo (bahasa Jawa: ꦯꦭ, translit. Sala, pengucapan bahasa Jawa: [sɔlɔ]) adalah salah satu kota di provinsi Jawa Tengah, Indonesia, dengan luas 44,04 km2.",gambar_wisata/Alun-Alun_Klaten,gambar_wisata/Alun-Alun_Klaten
alun-alun,Alun-Alun Kota Batu,-7.8711747,112.5251687,"Parkir Alun-Alun Kota Batu, Jalan RA. Kartini, Pesanggrahan, Kota Batu, Klojen, Jawa Timur, Jawa, 65341, Indonesia",Jawa Timur,Kota Batu,"Alun-Alun Kota Batu, Kota Batu, Jawa Timur","Kota Batu (bahasa Jawa:  Hanacaraka: ꦧꦠꦸ, Pegon: باتو; pengucapan bahasa Jawa: [ˈbat̪u]) adalah sebuah kota wisata di Provinsi Jawa Timur, Indonesia. Kota ini terletak 90 km sebelah barat daya Surabaya atau 15 km sebelah barat laut Malang.",gambar_wisata/Alun-Alun_Kota_Batu,gambar_wisata/Alun-Alun_Kota_Batu
alun-alun,Alun-Alun Kota Magelang,-7.4771886,110.2182633,"Alun-Alun Kota Magelang, Mateseh, Kauman, Kota Magelang, Jawa Tengah, Jawa, 56122, Indonesia",Jawa Tengah,Kota Magelang,"Alun-Alun Kota Magelang, Kota Magelang, Jawa Tengah","Kota Magelang (bahasa Jawa:  Hanacaraka : ꦩꦒꦼꦭꦁ, Pegon: ماڮٓلاڠ, translit. Magêlang) adalah salah satu kota yang terletak di provinsi Jawa Tengah, Indonesia.",gambar_wisata/Alun-Alun_Kota_Magelang,gambar_wisata/Alun-Alun_Kota_Magelang
alun-alun,Alun-Alun Kota Malang,-7.9826135,112.6308234,"Alun-Alun Malang, Kiduldalem, Kota Malang, Jawa Timur, Jawa, Indonesia",Jawa Timur,Kota Malang,"Alun-Alun Kota Malang, Kota Malang, Jawa Timur","Kota Malang (bahasa Jawa: Hanacaraka: ꦩꦭꦁ, Pegon: مالاڠ; pengucapan bahasa Jawa: [ˈmalaŋ]) adalah sebuah kota yang terletak di Provinsi Jawa Timur, Indonesia, Kota ini merupakan kota terbesar kedua di Jawa Timur setelah Surabaya, dan kota terbesar ke-12 di Indonesia. Kota ini didirikan pada masa Pemerintahan Belanda pada 1 April 1914 dengan E.K Broeveldt sebagai wali kota pertama.",gambar_wisata/Alun-Alun_Kota_Malang,gambar_wisata/Alun-Alun_Kota_Malang
alun-alun,Alun-Alun Kota Semarang,-7.1350341,110.4090482,"Alun-alun mini, Putatan, Kota Semarang, Kabupaten Semarang, Jawa Tengah, Jawa, Indonesia",Jawa Tengah,Kota Semarang,"Alun-Alun Kota Semarang, Kota Semarang, Jawa Tengah","Kota Batu (bahasa Jawa:  Hanacaraka: ꦧꦠꦸ, Pegon: باتو; pengucapan bahasa Jawa: [ˈbat̪u]) adalah sebuah kota wisata di Provinsi Jawa Timur, Indonesia. Kota ini terletak 90 km sebelah barat daya Surabaya atau 15 km sebelah barat laut Malang.",gambar_wisata/Alun-Alun_Kota_Semarang,gambar_wisata/Alun-Alun_Kota_Semarang
alun-alun,Alun-Alun Kota Solo,-7.5747341,110.8287812,"Alun-alun utara, Kauman, Surakarta, Kecamatan Pasar Kliwon, Jawa Tengah, Jawa, Indonesia",Jawa Tengah,Surakarta,"Alun-Alun Kota Solo, Surakarta, Jawa Tengah","Kota Surakarta (bahasa Jawa: Hanacaraka: ꦯꦹꦫꦏꦂꦡ, Pegon: سوراكارتا, Hanzi: 梭罗市, pengucapan bahasa Jawa: [surɔˈkartɔ]) atau Solo (bahasa Jawa: ꦯꦭ, translit. Sala, pengucapan bahasa Jawa: [sɔlɔ]) adalah salah satu kota di provinsi Jawa Tengah, Indonesia, dengan luas 44,04 km2.",gambar_wisata/Alun-Alun_Kota_Solo,gambar_wisata/Alun-Alun_Kota_Solo
alun-alun,Alun-Alun Kota Tangerang,-6.2744895,106.6928034,"Alun-Alun Pondok Aren, Parigi Baru, Pondok Aren, Tangerang Selatan, Banten, Jawa, Indonesia",Banten,Tangerang Selatan,"Alun-Alun Kota Tangerang, Tangerang Selatan, Banten","Kota Tangerang adalah kota yang terletak di Provinsi Banten, Indonesia. Kota ini terletak sekitar 20,7 km di sebelah barat dari DKI Jakarta.",gambar_wisata/Alun-Alun_Kota_Tangerang,gambar_wisata/Alun-Alun_Kota_Tangerang
